Year_of_Release,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,User_Score,User_Count
2017,0.0,0.0,0.28,0.0,0.28,79,82.0,91.0
2016,0.48,0.59,0.04,0.21,1.33,81,71.0,624.0
2016,0.23,0.53,0.04,0.14,0.94,88,81.0,1082.0
2016,0.72,0.0,0.0,0.17,0.89,85,73.0,182.0
2016,0.44,0.25,0.0,0.07,0.76,87,84.0,679.0
2016,0.41,0.27,0.0,0.07,0.74,82,75.0,233.0
2016,0.28,0.17,0.18,0.04,0.68,77,73.0,93.0
2016,0.05,0.21,0.25,0.02,0.53,60,68.0,45.0
2016,0.17,0.13,0.11,0.03,0.43,70,74.0,105.0
2016,0.03,0.29,0.01,0.05,0.39,82,79.0,122.0
2016,0.1,0.17,0.05,0.05,0.37,70,77.0,183.0
2016,0.07,0.14,0.11,0.02,0.34,65,78.0,81.0
2016,0.0,0.0,0.28,0.0,0.28,76,77.0,70.0
2016,0.04,0.11,0.11,0.03,0.28,74,70.0,122.0
2016,0.07,0.13,0.0,0.02,0.21,85,85.0,2552.0
2016,0.07,0.05,0.05,0.03,0.2,84,81.0,200.0
2015,0.21,0.46,0.0,0.05,0.72,93,93.0,10665.0
2015,0.0,0.03,0.05,0.01,0.09,86,93.0,20.0
2015,1.02,2.13,0.23,0.59,3.97,92,92.0,10179.0
2015,0.69,0.5,0.0,0.11,1.31,91,92.0,3963.0
2015,1.15,0.55,0.47,0.17,2.34,89,90.0,478.0
2015,0.0,0.13,0.0,0.01,0.14,85,89.0,1404.0
2015,0.36,0.28,0.14,0.06,0.84,84,89.0,1548.0
2015,0.03,0.01,0.0,0.0,0.04,81,89.0,26.0
2015,0.01,0.01,0.04,0.01,0.06,76,88.0,33.0
2015,0.48,0.35,0.34,0.08,1.25,69,88.0,190.0
2015,1.18,0.89,0.94,0.2,3.21,88,87.0,691.0
2015,0.16,0.01,0.05,0.02,0.24,79,87.0,82.0
2015,1.03,0.81,0.26,0.38,2.48,92,86.0,6383.0
2015,0.03,0.08,0.0,0.02,0.14,81,86.0,73.0
2015,0.09,0.04,0.15,0.04,0.32,76,86.0,83.0
2015,0.01,0.0,0.03,0.0,0.04,82,85.0,86.0
2015,1.54,1.18,1.46,0.26,4.43,81,85.0,1184.0
2015,0.16,0.04,0.1,0.02,0.32,80,85.0,71.0
2015,0.62,0.47,0.11,0.1,1.3,78,85.0,376.0
2015,0.0,0.03,0.07,0.01,0.11,72,85.0,11.0
2015,0.0,0.02,0.0,0.0,0.03,88,84.0,124.0
2015,0.78,0.38,0.0,0.12,1.28,77,84.0,613.0
2015,0.19,0.29,0.0,0.04,0.53,88,83.0,833.0
2015,0.05,0.04,0.0,0.01,0.1,88,83.0,280.0
2015,0.0,0.0,0.01,0.0,0.01,82,83.0,20.0
2015,0.0,0.0,0.05,0.0,0.05,81,83.0,29.0
2015,0.01,0.0,0.05,0.0,0.06,71,83.0,12.0
2015,1.09,1.36,0.49,0.48,3.41,93,82.0,3943.0
2015,0.08,0.04,0.02,0.01,0.14,90,82.0,225.0
2015,0.02,0.05,0.04,0.01,0.13,80,82.0,153.0
2015,0.45,0.9,0.05,0.26,1.66,79,82.0,2161.0
2015,0.04,0.0,0.12,0.0,0.17,77,82.0,38.0
2015,2.07,1.71,0.08,0.76,4.62,86,81.0,1264.0
2015,0.09,0.13,0.0,0.04,0.26,81,81.0,188.0
2015,0.11,0.08,0.06,0.04,0.29,80,81.0,173.0
2015,0.03,0.0,0.03,0.01,0.07,78,81.0,63.0
2015,0.0,0.0,0.04,0.0,0.04,72,81.0,25.0
2015,0.27,0.19,0.02,0.04,0.52,71,81.0,14.0
2015,0.55,0.7,0.02,0.11,1.38,86,80.0,1288.0
2015,0.22,0.13,0.12,0.04,0.52,73,80.0,227.0
2015,0.02,0.0,0.0,0.01,0.04,71,80.0,30.0
2015,0.0,0.01,0.09,0.0,0.11,69,80.0,79.0
2015,0.08,0.0,0.08,0.02,0.18,67,80.0,96.0
2015,0.39,0.69,0.0,0.09,1.17,96,79.0,3756.0
2015,0.73,0.9,0.03,0.14,1.8,87,79.0,863.0
2015,0.09,0.01,0.13,0.01,0.24,77,79.0,49.0
2015,0.12,0.06,0.0,0.02,0.2,75,79.0,1295.0
2015,0.09,0.04,0.0,0.01,0.14,75,79.0,55.0
2015,0.96,0.67,0.12,0.34,2.09,74,79.0,1287.0
2015,0.01,0.0,0.03,0.0,0.04,69,79.0,16.0
2015,0.03,0.02,0.0,0.01,0.06,64,79.0,51.0
2015,0.38,0.33,0.03,0.14,0.88,82,78.0,345.0
2015,0.68,0.08,0.0,0.17,0.92,80,78.0,190.0
2015,0.26,0.13,0.0,0.04,0.43,80,78.0,119.0
2015,0.86,0.3,0.01,0.12,1.29,74,78.0,387.0
2015,0.0,0.0,0.08,0.0,0.08,70,78.0,44.0
2015,0.0,0.03,0.07,0.01,0.1,65,78.0,63.0
2015,0.0,0.12,0.04,0.02,0.18,59,78.0,45.0
2015,0.0,0.07,0.0,0.0,0.08,91,77.0,1963.0
2015,0.01,0.01,0.0,0.0,0.02,86,77.0,255.0
2015,0.49,0.22,0.01,0.07,0.79,84,77.0,325.0
2015,1.5,0.8,0.0,0.48,2.78,83,77.0,836.0
2015,0.07,0.03,0.02,0.02,0.14,80,77.0,31.0
2015,0.13,0.24,0.1,0.07,0.55,75,77.0,284.0
2015,0.14,0.05,0.01,0.02,0.21,69,77.0,125.0
2015,0.3,0.52,0.12,0.16,1.11,69,77.0,598.0
2015,0.03,0.03,0.0,0.01,0.08,90,76.0,312.0
2015,1.53,1.69,0.1,0.64,3.95,87,76.0,2679.0
2015,0.0,0.06,0.06,0.01,0.13,86,76.0,225.0
2015,0.0,0.08,0.0,0.0,0.09,76,76.0,338.0
2015,0.05,0.07,0.02,0.02,0.17,74,76.0,74.0
2015,0.0,0.03,0.0,0.0,0.03,74,76.0,56.0
2015,0.53,0.33,0.17,0.08,1.12,73,76.0,179.0
2015,0.03,0.02,0.0,0.01,0.06,67,76.0,71.0
2015,2.61,0.33,0.0,0.34,3.28,82,75.0,563.0
2015,0.1,0.09,0.0,0.04,0.23,77,75.0,160.0
2015,0.07,0.02,0.0,0.01,0.1,75,75.0,106.0
2015,0.05,0.02,0.0,0.01,0.08,74,75.0,362.0
2015,0.0,0.0,0.06,0.0,0.06,70,75.0,48.0
2015,0.17,0.1,0.18,0.03,0.49,81,74.0,103.0
2015,0.01,0.09,0.0,0.02,0.12,76,74.0,19.0
2015,0.09,0.22,0.1,0.06,0.46,74,74.0,118.0
2015,0.0,0.02,0.0,0.0,0.02,74,74.0,41.0
2015,0.41,0.6,0.0,0.2,1.21,73,74.0,237.0
2015,0.04,0.02,0.09,0.02,0.18,71,74.0,34.0
2015,0.0,0.0,0.01,0.0,0.01,70,74.0,72.0
2015,0.0,0.0,0.02,0.0,0.02,70,74.0,9.0
2015,0.0,0.0,0.03,0.0,0.03,61,74.0,44.0
2015,0.41,0.26,0.01,0.07,0.75,95,73.0,900.0
2015,1.03,0.21,0.0,0.14,1.38,86,73.0,279.0
2015,0.03,0.06,0.0,0.01,0.1,81,73.0,1170.0
2015,0.09,0.13,0.0,0.02,0.24,80,73.0,520.0
2015,0.55,1.19,0.14,0.33,2.21,73,73.0,480.0
2015,0.03,0.02,0.06,0.01,0.12,73,73.0,24.0
2015,0.05,0.15,0.0,0.02,0.22,72,73.0,117.0
2015,0.0,0.0,0.17,0.0,0.17,57,73.0,15.0
2015,0.0,0.02,0.0,0.0,0.02,77,72.0,11.0
2015,0.0,0.06,0.0,0.01,0.07,72,72.0,23.0
2015,0.18,0.11,0.0,0.03,0.32,67,72.0,128.0
2015,0.13,0.42,0.13,0.1,0.79,87,71.0,680.0
2015,0.0,0.12,0.0,0.01,0.13,83,71.0,418.0
2015,0.24,0.37,0.0,0.12,0.73,80,71.0,65.0
2015,0.04,0.01,0.0,0.01,0.05,77,71.0,56.0
2015,0.06,0.16,0.06,0.04,0.31,76,71.0,110.0
2015,0.0,0.04,0.0,0.0,0.04,72,71.0,31.0
2015,0.06,0.04,0.23,0.03,0.36,70,71.0,27.0
2015,0.12,0.01,0.1,0.02,0.25,67,71.0,54.0
2015,0.0,0.01,0.0,0.0,0.01,67,71.0,35.0
2015,0.0,0.05,0.02,0.01,0.07,64,71.0,12.0
2015,0.03,0.02,0.0,0.0,0.05,48,71.0,8.0
2015,0.44,0.39,0.0,0.08,0.9,71,70.0,186.0
2015,0.32,0.42,0.02,0.14,0.9,70,70.0,80.0
2015,0.04,0.13,0.03,0.03,0.22,66,70.0,47.0
2015,0.0,0.33,0.0,0.02,0.35,81,69.0,97.0
2015,0.22,0.15,0.0,0.04,0.41,80,69.0,27.0
