Name,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,User_Score,User_Count,Developer,Rating,Platform
.hack//Infection Part 1,2002,Role-Playing,Atari,490000.0,380000.0,260000.0,130000.0,1270000.0,75,85.0,60.0,CyberConnect2,T,PS2
.hack//Mutation Part 2,2002,Role-Playing,Atari,230000.0,180000.0,200000.0,60000.0,680000.0,76,89.0,81.0,CyberConnect2,T,PS2
.hack//Outbreak Part 3,2002,Role-Playing,Atari,140000.0,110000.0,170000.0,40000.0,460000.0,70,87.0,19.0,CyberConnect2,T,PS2
007 Racing,2000,Racing,Electronic Arts,300000.0,200000.0,0.0,30000.0,530000.0,51,46.0,14.0,Eutechnyx,T,PS
007: Quantum of Solace,2008,Action,Activision,290000.0,280000.0,10000.0,70000.0,650000.0,54,75.0,26.0,Treyarch,T,"Wii,X360,PS3,PC"
007: The World is not Enough,2000,Action,Electronic Arts,510000.0,350000.0,0.0,60000.0,920000.0,61,67.0,44.0,Black Ops Entertainment,T,PS
1 vs. 100,2008,Misc,DSI Games,80000.0,0.0,0.0,10000.0,80000.0,38,32.0,5.0,ECI,E,DS
1701 A.D.,2006,Simulation,Deep Silver,0.0,250000.0,0.0,40000.0,300000.0,79,83.0,38.0,Related Designs,E10+,PC
18 Wheeler: American Pro Trucker,2002,Racing,Acclaim Entertainment,90000.0,20000.0,0.0,0.0,110000.0,52,68.0,8.0,Acclaim Studios Cheltenham,E,"GC,PS2"
18 Wheels of Steel: Extreme Trucker,2009,Racing,Rondomedia,0.0,20000.0,0.0,0.0,20000.0,56,80.0,10.0,ValuSoft,E,PC
187: Ride or Die,2005,Racing,Ubisoft,50000.0,10000.0,0.0,0.0,60000.0,51,69.0,8.0,Ubisoft Paris,M,"XB,PS2"
2002 FIFA World Cup,2002,Sports,Electronic Arts,40000.0,10000.0,0.0,0.0,50000.0,78,77.0,6.0,EA Sports,E,"GC,XB,PS2"
2010 FIFA World Cup South Africa,2010,Sports,Electronic Arts,300000.0,640000.0,70000.0,220000.0,1230000.0,82,78.0,57.0,EA Canada,E,"PS3,PSP,X360,Wii"
2014 FIFA World Cup Brazil,2014,Sports,Electronic Arts,150000.0,360000.0,10000.0,90000.0,610000.0,73,43.0,87.0,EA Canada,E,"PS3,X360"
24: The Game,2006,Adventure,Sony Computer Entertainment,150000.0,120000.0,0.0,40000.0,300000.0,62,82.0,40.0,SCE Studio Cambridge,M,PS2
25 to Life,2006,Shooter,Eidos Interactive,350000.0,10000.0,0.0,60000.0,420000.0,39,49.0,46.0,"Ritual Entertainment, Avalanche Software",M,"PS2,XB"
300: March to Glory,2007,Action,Warner Bros. Interactive Entertainment,270000.0,80000.0,0.0,70000.0,410000.0,55,71.0,14.0,Collision Studios,M,PSP
3D Dot Game Heroes,2009,Role-Playing,SouthPeak Games,360000.0,110000.0,30000.0,70000.0,570000.0,77,80.0,96.0,Silicon Studio,E10+,PS3
4x4 EVO 2,2001,Racing,Gathering of Developers,180000.0,50000.0,0.0,10000.0,240000.0,59,62.0,5.0,Terminal Reality,E,XB
50 Cent: Blood on the Sand,2009,Shooter,THQ,100000.0,60000.0,10000.0,30000.0,190000.0,72,72.0,57.0,Swordfish Studios,M,"PS3,X360"
50 Cent: Bulletproof,2005,Action,Vivendi Games,330000.0,100000.0,0.0,20000.0,440000.0,50,59.0,21.0,Genuine Games,M,"XB,PS2"
7 Wonders of the Ancient World,2007,Puzzle,Funsta,100000.0,10000.0,0.0,10000.0,130000.0,60,83.0,48.0,Hot Lava Games,E,DS
7th Dragon III Code: VFD,2015,Role-Playing,Sega,40000.0,0.0,120000.0,0.0,170000.0,77,82.0,38.0,Sega,T,3DS
A Boy and His Blob,2009,Platform,Majesco Entertainment,180000.0,10000.0,0.0,10000.0,210000.0,80,87.0,35.0,WayForward,E,Wii
A Vampyre Story,2008,Adventure,Crimson Cow,0.0,10000.0,0.0,0.0,20000.0,75,85.0,25.0,Autumn Moon,T,PC
A Witch's Tale,2009,Role-Playing,Nippon Ichi Software,80000.0,0.0,30000.0,10000.0,110000.0,50,62.0,9.0,"Nippon Ichi Software, Hit Maker",E10+,DS
AC/DC LIVE: Rock Band Track Pack,2008,Misc,MTV Games,210000.0,10000.0,0.0,20000.0,240000.0,60,53.0,14.0,Harmonix Music Systems,T,"PS3,X360"
AMF Bowling 2004,2003,Sports,Mud Duck Productions,220000.0,60000.0,0.0,10000.0,300000.0,48,44.0,8.0,Mud Duck Productions,E,XB
AMF Xtreme Bowling,2006,Sports,Mastertronic,10000.0,10000.0,0.0,0.0,20000.0,30,42.0,5.0,"Atomic Planet Entertainment, Mud Duck Productions",E,PS2
APB Reloaded,2011,Role-Playing,Iceberg Interactive,20000.0,10000.0,0.0,0.0,40000.0,56,57.0,269.0,"Reloaded Productions, Reloaded Games Inc.",M,PC
ATV Offroad Fury,2001,Racing,Sony Computer Entertainment,2069999.9999999998,260000.0,0.0,80000.0,2410000.0,82,84.0,53.0,Rainbow Studios,E,PS2
ATV Offroad Fury 2,2002,Racing,THQ,1920000.0,200000.0,0.0,60000.0,2180000.0,82,89.0,28.0,Rainbow Studios,E,PS2
ATV Offroad Fury 3,2004,Racing,SouthPeak Games,1000000.0,40000.0,0.0,160000.0,1200000.0,78,84.0,16.0,Climax Group,E,PS2
ATV Offroad Fury: Blazin' Trails,2005,Racing,SouthPeak Games,530000.0,0.0,0.0,40000.0,570000.0,63,78.0,16.0,Climax Group,E,PSP
ATV Quad Power Racing 2,2003,Racing,Acclaim Entertainment,220000.0,60000.0,0.0,10000.0,280000.0,70,90.0,4.0,Climax Group,E,GC
Academy of Champions: Soccer,2009,Sports,Ubisoft,90000.0,20000.0,0.0,10000.0,120000.0,64,68.0,14.0,Ubisoft Vancouver,E,Wii
Ace Attorney Investigations: Miles Edgeworth,2009,Adventure,Capcom,230000.0,140000.0,300000.0,40000.0,700000.0,78,84.0,79.0,Capcom,T,DS
Ace Combat 04: Shattered Skies,2001,Simulation,Sony Computer Entertainment Europe,2060000.0,560000.0,380000.0,170000.0,3170000.0,89,91.0,95.0,Namco,E,PS2
