Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,User_Score,User_Count,Developer,Rating
.hack//Infection Part 1,PS2,2002,Role-Playing,Atari,0.49,0.38,0.26,0.13,1.27,75,85.0,60.0,CyberConnect2,T
.hack//Mutation Part 2,PS2,2002,Role-Playing,Atari,0.23,0.18,0.2,0.06,0.68,76,89.0,81.0,CyberConnect2,T
.hack//Outbreak Part 3,PS2,2002,Role-Playing,Atari,0.14,0.11,0.17,0.04,0.46,70,87.0,19.0,CyberConnect2,T
007 Racing,PS,2000,Racing,Electronic Arts,0.3,0.2,0.0,0.03,0.53,51,46.0,14.0,Eutechnyx,T
007: Quantum of Solace,Wii,2008,Action,Activision,0.29,0.28,0.01,0.07,0.65,54,75.0,26.0,Treyarch,T
007: Quantum of Solace,X360,2008,Action,Activision,0.82,0.51,0.01,0.14,1.48,65,71.0,71.0,Treyarch,T
007: Quantum of Solace,PS3,2008,Action,Activision,0.43,0.51,0.02,0.19,1.14,65,66.0,47.0,Treyarch,T
007: Quantum of Solace,PC,2008,Action,Activision,0.01,0.01,0.0,0.0,0.03,70,63.0,55.0,Treyarch,T
007: The World is not Enough,PS,2000,Action,Electronic Arts,0.51,0.35,0.0,0.06,0.92,61,67.0,44.0,Black Ops Entertainment,T
1 vs. 100,DS,2008,Misc,DSI Games,0.08,0.0,0.0,0.01,0.08,38,32.0,5.0,ECI,E
1701 A.D.,PC,2006,Simulation,Deep Silver,0.0,0.25,0.0,0.04,0.3,79,83.0,38.0,Related Designs,E10+
18 Wheeler: American Pro Trucker,GC,2002,Racing,Acclaim Entertainment,0.09,0.02,0.0,0.0,0.11,52,68.0,8.0,Acclaim Studios Cheltenham,E
18 Wheeler: American Pro Trucker,PS2,2001,Racing,Acclaim Entertainment,0.2,0.15,0.0,0.05,0.4,61,57.0,18.0,Acclaim Studios Cheltenham,E
18 Wheels of Steel: Extreme Trucker,PC,2009,Racing,Rondomedia,0.0,0.02,0.0,0.0,0.02,56,80.0,10.0,ValuSoft,E
187: Ride or Die,XB,2005,Racing,Ubisoft,0.05,0.01,0.0,0.0,0.06,51,69.0,8.0,Ubisoft Paris,M
187: Ride or Die,PS2,2005,Racing,Ubisoft,0.07,0.06,0.0,0.02,0.15,52,68.0,12.0,Ubisoft,M
2002 FIFA World Cup,GC,2002,Sports,Electronic Arts,0.04,0.01,0.0,0.0,0.05,78,77.0,6.0,EA Sports,E
2002 FIFA World Cup,XB,2002,Sports,Electronic Arts,0.14,0.04,0.0,0.01,0.19,79,90.0,4.0,Software Creations,E
