Name,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,User_Score,User_Count,Developer,Rating,Platform
.hack//Infection Part 1,2002,Role-Playing,Atari,0.49,0.38,0.26,0.13,1.27,75,85.0,60.0,CyberConnect2,T,PS2
.hack//Mutation Part 2,2002,Role-Playing,Atari,0.23,0.18,0.2,0.06,0.68,76,89.0,81.0,CyberConnect2,T,PS2
.hack//Outbreak Part 3,2002,Role-Playing,Atari,0.14,0.11,0.17,0.04,0.46,70,87.0,19.0,CyberConnect2,T,PS2
007 Racing,2000,Racing,Electronic Arts,0.3,0.2,0.0,0.03,0.53,51,46.0,14.0,Eutechnyx,T,PS
007: Quantum of Solace,2008,Action,Activision,0.29,0.28,0.01,0.07,0.65,54,75.0,26.0,Treyarch,T,"Wii,X360,PS3,PC"
007: The World is not Enough,2000,Action,Electronic Arts,0.51,0.35,0.0,0.06,0.92,61,67.0,44.0,Black Ops Entertainment,T,PS
1 vs. 100,2008,Misc,DSI Games,0.08,0.0,0.0,0.01,0.08,38,32.0,5.0,ECI,E,DS
1701 A.D.,2006,Simulation,Deep Silver,0.0,0.25,0.0,0.04,0.3,79,83.0,38.0,Related Designs,E10+,PC
18 Wheeler: American Pro Trucker,2002,Racing,Acclaim Entertainment,0.09,0.02,0.0,0.0,0.11,52,68.0,8.0,Acclaim Studios Cheltenham,E,"GC,PS2"
18 Wheels of Steel: Extreme Trucker,2009,Racing,Rondomedia,0.0,0.02,0.0,0.0,0.02,56,80.0,10.0,ValuSoft,E,PC
187: Ride or Die,2005,Racing,Ubisoft,0.05,0.01,0.0,0.0,0.06,51,69.0,8.0,Ubisoft Paris,M,"XB,PS2"
2002 FIFA World Cup,2002,Sports,Electronic Arts,0.04,0.01,0.0,0.0,0.05,78,77.0,6.0,EA Sports,E,"GC,XB,PS2"
2010 FIFA World Cup South Africa,2010,Sports,Electronic Arts,0.3,0.64,0.07,0.22,1.23,82,78.0,57.0,EA Canada,E,"PS3,PSP,X360,Wii"
2014 FIFA World Cup Brazil,2014,Sports,Electronic Arts,0.15,0.36,0.01,0.09,0.61,73,43.0,87.0,EA Canada,E,"PS3,X360"
