Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,User_Score,User_Count,Developer,Rating
Monster Hunter Stories,3DS,2017.0,Action,Capcom,0.0,0.0,0.28,0.0,0.28,79.0,8.2,91.0,Capcom,E10+
The Elder Scrolls V: Skyrim,PS4,2016.0,Role-Playing,Bethesda Softworks,0.48,0.59,0.04,0.21,1.33,81.0,7.1,624.0,Bethesda Game Studios,M
Rise of the Tomb Raider,PS4,2016.0,Adventure,Square Enix,0.23,0.53,0.04,0.14,0.94,88.0,8.1,1082.0,"Crystal Dynamics, Nixxes Software",M
MLB 16: The Show,PS4,2016.0,Action,Sony Computer Entertainment,0.72,0.0,0.0,0.17,0.89,85.0,7.3,182.0,SCEA San Diego Studios,E
Doom (2016),XOne,2016.0,Shooter,Bethesda Softworks,0.44,0.25,0.0,0.07,0.76,87.0,8.4,679.0,id Software,M
The Elder Scrolls V: Skyrim,XOne,2016.0,Role-Playing,Bethesda Softworks,0.41,0.27,0.0,0.07,0.74,82.0,7.5,233.0,Bethesda Game Studios,M
Minecraft,WiiU,2016.0,Misc,Microsoft Game Studios,0.28,0.17,0.18,0.04,0.68,77.0,7.3,93.0,4J Studios,E10+
Mario & Sonic at the Rio 2016 Olympic Games,3DS,2016.0,Action,Nintendo,0.05,0.21,0.25,0.02,0.53,60.0,6.8,45.0,"Nintendo, Sega Sports R&D",E10+
Hyrule Warriors,3DS,2016.0,Action,Nintendo,0.17,0.13,0.11,0.03,0.43,70.0,7.4,105.0,Omega Force,T
F1 2016 (Codemasters),PS4,2016.0,Racing,Codemasters,0.03,0.29,0.01,0.05,0.39,82.0,7.9,122.0,Codemasters,E
Resident Evil Zero,PS4,2016.0,Action,Capcom,0.1,0.17,0.05,0.05,0.37,70.0,7.7,183.0,Capcom,M
Mario & Sonic at the Rio 2016 Olympic Games,WiiU,2016.0,Action,Nintendo,0.07,0.14,0.11,0.02,0.34,65.0,7.8,81.0,"Nintendo, Sega Sports R&D",E10+
Dragon Quest Heroes II: Twin Kings and the Prophecy's End,PS4,2016.0,Action,Square Enix,0.0,0.0,0.28,0.0,0.28,76.0,7.7,70.0,Omega Force,T
Attack on Titan (KOEI),PS4,2016.0,Action,Tecmo Koei,0.04,0.11,0.11,0.03,0.28,74.0,7.0,122.0,Omega Force,M
Doom (2016),PC,2016.0,Shooter,Bethesda Softworks,0.07,0.13,0.0,0.02,0.21,85.0,8.5,2552.0,id Software,M
Valkyria Chronicles,PS4,2016.0,Role-Playing,Sega,0.07,0.05,0.05,0.03,0.2,84.0,8.1,200.0,Sega,T
The Witcher 3: Wild Hunt,PC,2015.0,Role-Playing,Namco Bandai Games,0.21,0.46,0.0,0.05,0.72,93.0,9.3,10665.0,CD Projekt Red Studio,M
Steins;Gate 0,PSV,2015.0,Adventure,PQube,0.0,0.03,0.05,0.01,0.09,86.0,9.3,20.0,5pb,M
The Witcher 3: Wild Hunt,PS4,2015.0,Role-Playing,Namco Bandai Games,1.02,2.13,0.23,0.59,3.97,92.0,9.2,10179.0,CD Projekt Red Studio,M
The Witcher 3: Wild Hunt,XOne,2015.0,Role-Playing,Namco Bandai Games,0.69,0.5,0.0,0.11,1.31,91.0,9.2,3963.0,CD Projekt Red Studio,M
The Legend of Zelda: Majora's Mask 3D,3DS,2015.0,Action,Nintendo,1.15,0.55,0.47,0.17,2.34,89.0,9,478.0,GREZZO,E10+
Cities: Skylines,PC,2015.0,Simulation,Paradox Interactive,0.0,0.13,0.0,0.01,0.14,85.0,8.9,1404.0,Colossal Order,E
Xenoblade Chronicles X,WiiU,2015.0,Role-Playing,Nintendo,0.36,0.28,0.14,0.06,0.84,84.0,8.9,1548.0,Monolith Soft,T
Brothers: A Tale of Two Sons,XOne,2015.0,Adventure,505 Games,0.03,0.01,0.0,0.0,0.04,81.0,8.9,26.0,Starbreeze,T
